3D_secured,amount,card_Master,attempt_count,psp_success_rate,success_fee,hour
0,89,False,1,0.19412591951536132,3,0
0,89,False,1,0.19412591951536132,3,0
1,238,False,1,0.19412591951536132,3,0
1,238,False,1,0.19412591951536132,3,0
0,124,False,1,0.15800320586214792,1,0
0,282,True,1,0.19412591951536132,3,0
0,282,True,1,0.15800320586214792,1,0
0,117,True,1,0.19412591951536132,3,0
0,174,False,1,0.15800320586214792,1,0
0,174,False,1,0.15800320586214792,1,0
1,232,False,1,0.15800320586214792,1,0
1,232,False,1,0.19412591951536132,3,0
1,232,False,1,0.19412591951536132,3,0
1,232,False,1,0.19412591951536132,3,0
1,232,False,1,0.19412591951536132,3,0
0,268,True,1,0.15800320586214792,1,0
0,89,True,1,0.15800320586214792,1,0
0,89,True,1,0.19412591951536132,3,0
0,89,True,1,0.21698274389202118,5,0
0,205,True,1,0.19412591951536132,3,0
0,205,True,1,0.19412591951536132,3,0
0,205,True,1,0.21698274389202118,5,0
0,111,True,1,0.15800320586214792,1,0
0,111,True,1,0.19412591951536132,3,0
0,111,True,1,0.19412591951536132,3,0
0,111,True,1,0.19412591951536132,3,0
0,111,True,1,0.19412591951536132,3,0
0,111,True,1,0.19412591951536132,3,0
0,277,False,1,0.4163652802893309,10,0
0,137,False,1,0.19412591951536132,3,0
0,148,False,1,0.21698274389202118,5,0
0,394,False,1,0.19412591951536132,3,0
0,394,False,1,0.19412591951536132,3,0
0,394,False,1,0.19412591951536132,3,0
0,394,False,1,0.19412591951536132,3,0
0,84,True,1,0.21698274389202118,5,0
0,34,False,1,0.21698274389202118,5,0
0,34,False,1,0.15800320586214792,1,0
0,34,False,1,0.4163652802893309,10,0
0,324,True,1,0.19412591951536132,3,0
1,251,True,1,0.19412591951536132,3,0
1,251,True,1,0.19412591951536132,3,0
1,251,True,1,0.19412591951536132,3,0
1,251,True,1,0.15800320586214792,1,0
0,100,True,1,0.19412591951536132,3,0
0,100,True,1,0.19412591951536132,3,0
0,100,True,1,0.19412591951536132,3,0
0,100,True,1,0.19412591951536132,3,0
0,100,True,1,0.15800320586214792,1,0
0,221,False,1,0.21698274389202118,5,0
0,340,False,1,0.15800320586214792,1,0
0,340,False,1,0.19412591951536132,3,0
1,257,True,1,0.19412591951536132,3,1
1,257,True,1,0.4163652802893309,10,1
1,257,True,1,0.19412591951536132,3,1
1,257,True,1,0.19412591951536132,3,1
0,193,False,1,0.19412591951536132,3,1
1,36,True,1,0.15800320586214792,1,1
0,146,False,1,0.15800320586214792,1,1
0,192,True,1,0.19412591951536132,3,1
0,192,True,1,0.19412591951536132,3,1
0,14,True,1,0.21698274389202118,5,1
0,14,True,1,0.19412591951536132,3,1
0,175,False,1,0.21698274389202118,5,1
0,175,False,1,0.15800320586214792,1,1
0,175,False,1,0.15800320586214792,1,1
0,270,True,1,0.15800320586214792,1,1
0,270,True,1,0.19412591951536132,3,1
0,256,True,1,0.19412591951536132,3,1
0,256,True,1,0.19412591951536132,3,1
0,256,True,1,0.19412591951536132,3,1
0,256,True,1,0.21698274389202118,5,1
0,310,False,1,0.4163652802893309,10,1
0,310,False,1,0.15800320586214792,1,1
0,310,False,1,0.19412591951536132,3,1
0,310,False,1,0.19412591951536132,3,1
0,310,False,1,0.15800320586214792,1,1
0,310,False,1,0.19412591951536132,3,1
0,310,False,1,0.19412591951536132,3,1
0,239,True,1,0.15800320586214792,1,1
0,37,True,1,0.19412591951536132,3,1
0,37,True,1,0.15800320586214792,1,1
0,37,True,1,0.21698274389202118,5,1
0,37,True,1,0.19412591951536132,3,1
0,37,True,2,0.19412591951536132,3,1
0,37,True,1,0.15800320586214792,1,1
1,56,False,1,0.15800320586214792,1,1
1,56,False,1,0.19412591951536132,3,1
1,56,False,1,0.21698274389202118,5,1
1,192,False,1,0.4163652802893309,10,1
1,192,False,1,0.15800320586214792,1,1
0,324,False,1,0.19412591951536132,3,1
0,324,False,1,0.19412591951536132,3,1
0,324,False,1,0.19412591951536132,3,1
0,324,False,1,0.15800320586214792,1,1
0,105,True,1,0.19412591951536132,3,1
0,105,True,1,0.15800320586214792,1,1
0,105,True,1,0.19412591951536132,3,1
0,105,True,1,0.21698274389202118,5,1
0,105,True,1,0.4163652802893309,10,1
0,228,False,1,0.19412591951536132,3,1
0,228,False,1,0.19412591951536132,3,1
0,228,False,1,0.19412591951536132,3,1
0,322,True,1,0.19412591951536132,3,1
0,322,True,1,0.21698274389202118,5,1
0,367,False,1,0.21698274389202118,5,1
0,367,False,1,0.19412591951536132,3,1
0,367,False,1,0.19412591951536132,3,1
0,190,False,1,0.19412591951536132,3,1
0,190,False,1,0.15800320586214792,1,1
0,190,False,1,0.19412591951536132,3,1
0,190,False,1,0.19412591951536132,3,1
0,190,False,1,0.19412591951536132,3,1
0,186,True,1,0.19412591951536132,3,2
0,186,True,1,0.19412591951536132,3,2
1,121,True,1,0.21698274389202118,5,2
1,121,True,1,0.19412591951536132,3,2
1,121,True,1,0.19412591951536132,3,2
0,274,True,1,0.19412591951536132,3,2
